filename,class,bbox
test_00000_img.jpg,VenusExpress,"(228, 559, 766, 779)"
test_00001_img.jpg,Proba3,"(8, 429, 544, 879)"
test_00002_img.jpg,LisaPathfinder,"(212, 38, 418, 216)"
test_00003_img.jpg,Proba2,"(216, 311, 475, 615)"
test_00004_img.jpg,Cheops,"(116, 386, 555, 745)"
test_00005_img.jpg,ObservationSat1,"(217, 70, 477, 607)"
test_00006_img.jpg,Proba3,"(175, 446, 715, 957)"
test_00007_img.jpg,Smart1,"(601, 110, 667, 700)"
test_00008_img.jpg,LisaPathfinder,"(626, 558, 935, 811)"
test_00009_img.jpg,Proba3ocs,"(369, 557, 682, 865)"
test_00010_img.jpg,Proba3,"(563, 239, 898, 592)"
test_00011_img.jpg,Proba3,"(388, 583, 742, 959)"
test_00012_img.jpg,VenusExpress,"(190, 140, 596, 415)"
test_00013_img.jpg,Proba3,"(557, 218, 932, 652)"
test_00014_img.jpg,ObservationSat1,"(497, 545, 848, 1016)"
test_00015_img.jpg,Soho,"(325, 18, 534, 306)"
test_00016_img.jpg,XMM Newton,"(694, 356, 1014, 564)"
test_00017_img.jpg,ObservationSat1,"(557, 381, 767, 668)"
test_00018_img.jpg,Proba3,"(352, 739, 671, 1018)"
test_00019_img.jpg,Proba3ocs,"(554, 579, 768, 848)"
test_00020_img.jpg,Proba3,"(338, 28, 580, 440)"
test_00021_img.jpg,Soho,"(227, 566, 507, 732)"
test_00022_img.jpg,Proba2,"(314, 274, 601, 463)"
test_00023_img.jpg,XMM Newton,"(463, 5, 997, 347)"
test_00024_img.jpg,XMM Newton,"(613, 6, 937, 437)"
test_00025_img.jpg,Soho,"(728, 364, 1018, 781)"
test_00026_img.jpg,ObservationSat1,"(415, 232, 889, 654)"
test_00027_img.jpg,Proba2,"(255, 6, 704, 447)"
test_00028_img.jpg,XMM Newton,"(97, 478, 836, 1015)"
test_00029_img.jpg,LisaPathfinder,"(585, 4, 855, 277)"
test_00030_img.jpg,Smart1,"(177, 587, 1011, 916)"
test_00031_img.jpg,Proba3ocs,"(363, 119, 616, 321)"
test_00032_img.jpg,Proba2,"(414, 95, 627, 392)"
test_00033_img.jpg,Proba3,"(284, 226, 620, 769)"
test_00034_img.jpg,Proba2,"(645, 317, 959, 606)"
test_00035_img.jpg,Soho,"(324, 1, 669, 145)"
test_00036_img.jpg,Cheops,"(524, 75, 765, 319)"
test_00037_img.jpg,ObservationSat1,"(499, 7, 805, 506)"
test_00038_img.jpg,Proba2,"(8, 11, 520, 755)"
test_00039_img.jpg,Smart1,"(393, 223, 868, 282)"
test_00040_img.jpg,Soho,"(782, 584, 1019, 1016)"
test_00041_img.jpg,Proba3ocs,"(180, 528, 412, 724)"
test_00042_img.jpg,Proba3,"(325, 176, 851, 523)"
test_00043_img.jpg,VenusExpress,"(515, 255, 797, 486)"
test_00044_img.jpg,Smart1,"(240, 463, 367, 565)"
test_00045_img.jpg,LisaPathfinder,"(539, 465, 701, 677)"
test_00046_img.jpg,Cheops,"(624, 7, 1017, 485)"
test_00047_img.jpg,Soho,"(6, 338, 332, 563)"
test_00048_img.jpg,ObservationSat1,"(496, 118, 911, 426)"
test_00049_img.jpg,Proba2,"(625, 246, 858, 558)"
test_00050_img.jpg,XMM Newton,"(808, 14, 1019, 321)"
test_00051_img.jpg,ObservationSat1,"(510, 67, 1015, 602)"
test_00052_img.jpg,Proba3ocs,"(581, 11, 789, 242)"
test_00053_img.jpg,Smart1,"(681, 181, 816, 718)"
test_00054_img.jpg,XMM Newton,"(258, 5, 597, 385)"
test_00055_img.jpg,XMM Newton,"(573, 240, 707, 598)"
test_00056_img.jpg,Proba3,"(452, 64, 745, 316)"
