image_id,top_category,top_score
test_00148_img.jpg,Proba2,0.993004
test_03893_img.jpg,Proba2,0.992292
test_01165_img.jpg,ObservationSat1,0.992007
test_04901_img.jpg,Proba2,0.992000
test_01341_img.jpg,XMM Newton,0.991824
test_02653_img.jpg,Proba2,0.991482
test_04579_img.jpg,Proba2,0.991209
test_01320_img.jpg,Proba2,0.991192
test_01700_img.jpg,XMM Newton,0.990634
test_02661_img.jpg,Proba2,0.990586
test_01514_img.jpg,Proba2,0.990578
test_00038_img.jpg,Proba2,0.990433
test_02252_img.jpg,Proba2,0.990414
test_01088_img.jpg,ObservationSat1,0.990271
test_03278_img.jpg,Proba2,0.990269
test_04337_img.jpg,XMM Newton,0.990016
test_00059_img.jpg,Proba2,0.989989
test_03724_img.jpg,Proba2,0.989958
test_01787_img.jpg,Proba2,0.989849
test_04531_img.jpg,Proba2,0.989800
test_00046_img.jpg,Cheops,0.989786
test_03101_img.jpg,XMM Newton,0.989686
test_04825_img.jpg,Proba2,0.989562
test_04382_img.jpg,ObservationSat1,0.989466
test_02245_img.jpg,ObservationSat1,0.989442
test_02540_img.jpg,LisaPathfinder,0.989378
test_03496_img.jpg,Cheops,0.989347
test_03239_img.jpg,ObservationSat1,0.989337
test_01092_img.jpg,ObservationSat1,0.989273
test_02578_img.jpg,XMM Newton,0.989126
test_00855_img.jpg,Proba2,0.989036
test_04218_img.jpg,Proba3,0.989031
test_01435_img.jpg,Proba2,0.988897
test_03954_img.jpg,Proba2,0.988791
test_03785_img.jpg,XMM Newton,0.988537
test_04951_img.jpg,LisaPathfinder,0.988531
test_00451_img.jpg,Cheops,0.988525
test_02106_img.jpg,XMM Newton,0.988471
test_03066_img.jpg,XMM Newton,0.988371
test_00283_img.jpg,Proba3,0.988238
test_04511_img.jpg,ObservationSat1,0.988176
test_04783_img.jpg,XMM Newton,0.988171
test_04776_img.jpg,Proba2,0.988158
test_00645_img.jpg,Proba2,0.988145
test_04626_img.jpg,XMM Newton,0.988114
test_03408_img.jpg,XMM Newton,0.988059
test_00887_img.jpg,Proba2,0.988050
test_00675_img.jpg,XMM Newton,0.987932
test_00332_img.jpg,Proba3ocs,0.987854
test_03915_img.jpg,XMM Newton,0.987838
test_03200_img.jpg,Cheops,0.987831
test_02697_img.jpg,ObservationSat1,0.987813
test_02117_img.jpg,Proba2,0.987750
test_03918_img.jpg,Proba3,0.987748
test_04988_img.jpg,Proba2,0.987605
test_04718_img.jpg,XMM Newton,0.987453
test_03582_img.jpg,Proba2,0.987393
test_04681_img.jpg,Proba2,0.987312
test_04108_img.jpg,Proba3ocs,0.987262
test_04322_img.jpg,LisaPathfinder,0.987243
test_03859_img.jpg,LisaPathfinder,0.987235
test_04088_img.jpg,ObservationSat1,0.987196
test_02602_img.jpg,Proba3,0.987183
test_04053_img.jpg,Cheops,0.987159
test_03373_img.jpg,XMM Newton,0.987130
test_01538_img.jpg,Proba2,0.987113
test_01647_img.jpg,Proba2,0.987087
test_04582_img.jpg,Cheops,0.986983
test_01544_img.jpg,Proba2,0.986956
test_02877_img.jpg,Proba3,0.986933
test_04000_img.jpg,ObservationSat1,0.986853
test_02882_img.jpg,Cheops,0.986821
test_01500_img.jpg,LisaPathfinder,0.986764
test_02148_img.jpg,Proba2,0.986763
test_02342_img.jpg,Cheops,0.986632
test_02064_img.jpg,VenusExpress,0.986615
test_02224_img.jpg,XMM Newton,0.986612
test_01102_img.jpg,Proba2,0.986580
test_03554_img.jpg,LisaPathfinder,0.986550
test_04420_img.jpg,XMM Newton,0.986515
test_00262_img.jpg,XMM Newton,0.986499
test_03765_img.jpg,ObservationSat1,0.986497
test_01220_img.jpg,Proba2,0.986481
test_04093_img.jpg,Proba2,0.986477
test_00674_img.jpg,Proba2,0.986412
test_00725_img.jpg,Proba3,0.986360
test_04526_img.jpg,Proba3ocs,0.986347
test_01219_img.jpg,XMM Newton,0.986326
test_02620_img.jpg,ObservationSat1,0.986301
test_00597_img.jpg,ObservationSat1,0.986261
test_02371_img.jpg,ObservationSat1,0.986221
test_03471_img.jpg,Proba2,0.986184
test_02904_img.jpg,XMM Newton,0.986170
test_01449_img.jpg,Proba2,0.986158
test_01057_img.jpg,XMM Newton,0.986131
test_00222_img.jpg,LisaPathfinder,0.986119
test_04762_img.jpg,Proba2,0.986102
test_03776_img.jpg,ObservationSat1,0.986061
test_03389_img.jpg,XMM Newton,0.986050
test_00201_img.jpg,Cheops,0.986002
test_03981_img.jpg,Cheops,0.985992
test_03590_img.jpg,XMM Newton,0.985986
test_03811_img.jpg,XMM Newton,0.985976
test_02741_img.jpg,ObservationSat1,0.985968
test_03985_img.jpg,ObservationSat1,0.985961
test_00305_img.jpg,XMM Newton,0.985959
test_04926_img.jpg,XMM Newton,0.985944
test_00657_img.jpg,Proba2,0.985935
test_00685_img.jpg,XMM Newton,0.985931
test_03214_img.jpg,XMM Newton,0.985904
test_02658_img.jpg,XMM Newton,0.985848
test_01212_img.jpg,ObservationSat1,0.985832
test_02775_img.jpg,Proba2,0.985812
test_04953_img.jpg,XMM Newton,0.985789
test_04180_img.jpg,Proba2,0.985786
