rank,image_id,mean_score
1,test_00148_img.jpg,0.993004
2,test_03893_img.jpg,0.992292
3,test_01165_img.jpg,0.992007
4,test_04901_img.jpg,0.992000
5,test_01341_img.jpg,0.991824
6,test_02653_img.jpg,0.991482
7,test_04579_img.jpg,0.991209
8,test_01320_img.jpg,0.991192
9,test_01700_img.jpg,0.990634
10,test_02661_img.jpg,0.990586
11,test_01514_img.jpg,0.990578
12,test_00038_img.jpg,0.990433
13,test_02252_img.jpg,0.990414
14,test_01088_img.jpg,0.990271
15,test_03278_img.jpg,0.990269
16,test_04337_img.jpg,0.990016
17,test_00059_img.jpg,0.989989
18,test_03724_img.jpg,0.989958
19,test_01787_img.jpg,0.989849
20,test_04531_img.jpg,0.989800
21,test_00046_img.jpg,0.989786
22,test_03101_img.jpg,0.989686
23,test_04825_img.jpg,0.989562
24,test_04382_img.jpg,0.989466
25,test_02245_img.jpg,0.989442
26,test_02540_img.jpg,0.989378
27,test_03496_img.jpg,0.989347
28,test_03239_img.jpg,0.989337
29,test_01092_img.jpg,0.989273
30,test_02578_img.jpg,0.989126
