rank,mask_name,body_ratio
1,test_02904_layer.png,0.185663
2,test_03728_layer.png,0.182109
3,test_01933_layer.png,0.181283
4,test_02882_layer.png,0.180325
5,test_01204_layer.png,0.178099
6,test_01233_layer.png,0.175035
7,test_03580_layer.png,0.174768
8,test_02221_layer.png,0.172754
9,test_02925_layer.png,0.171487
10,test_03893_layer.png,0.171181
11,test_02661_layer.png,0.167382
12,test_00201_layer.png,0.167317
13,test_00645_layer.png,0.161334
14,test_00590_layer.png,0.160720
15,test_03954_layer.png,0.159056
16,test_02106_layer.png,0.157260
17,test_01486_layer.png,0.157082
18,test_02252_layer.png,0.156670
19,test_03815_layer.png,0.152287
20,test_00398_layer.png,0.151536
21,test_02577_layer.png,0.151395
22,test_01602_layer.png,0.149220
23,test_03961_layer.png,0.148930
24,test_00887_layer.png,0.148687
25,test_01700_layer.png,0.147516
26,test_02653_layer.png,0.146562
27,test_00059_layer.png,0.145452
28,test_02179_layer.png,0.145028
29,test_03391_layer.png,0.144469
30,test_02247_layer.png,0.143188
31,test_01514_layer.png,0.141691
32,test_01329_layer.png,0.141496
33,test_02117_layer.png,0.141216
34,test_01833_layer.png,0.140352
35,test_03048_layer.png,0.139935
36,test_01544_layer.png,0.139478
37,test_02134_layer.png,0.139267
38,test_00848_layer.png,0.139223
39,test_00395_layer.png,0.139142
40,test_03038_layer.png,0.138439
41,test_01994_layer.png,0.137898
42,test_02691_layer.png,0.137684
43,test_01172_layer.png,0.137580
44,test_01804_layer.png,0.136943
45,test_02583_layer.png,0.136750
46,test_01435_layer.png,0.136253
47,test_01421_layer.png,0.135790
48,test_02602_layer.png,0.135328
49,test_01956_layer.png,0.135208
50,test_00671_layer.png,0.133534
