rank,mask_name,panels_ratio
1,test_00343_layer.png,0.154781
2,test_03735_layer.png,0.142211
3,test_03601_layer.png,0.141588
4,test_02342_layer.png,0.134638
5,test_00565_layer.png,0.132257
6,test_03239_layer.png,0.129878
7,test_03496_layer.png,0.128425
8,test_03262_layer.png,0.123248
9,test_00514_layer.png,0.120101
10,test_00869_layer.png,0.116982
11,test_02113_layer.png,0.113341
12,test_00411_layer.png,0.112606
13,test_00434_layer.png,0.111761
14,test_01826_layer.png,0.109477
15,test_02697_layer.png,0.107744
16,test_03337_layer.png,0.102368
17,test_03554_layer.png,0.101596
18,test_01542_layer.png,0.096714
19,test_01862_layer.png,0.094697
20,test_00725_layer.png,0.093953
21,test_02887_layer.png,0.093232
22,test_03918_layer.png,0.092349
23,test_01560_layer.png,0.091777
24,test_01754_layer.png,0.090483
25,test_02690_layer.png,0.090107
26,test_03494_layer.png,0.089948
27,test_03954_layer.png,0.089418
28,test_00190_layer.png,0.088836
29,test_02741_layer.png,0.087761
30,test_01165_layer.png,0.087694
31,test_02595_layer.png,0.087301
32,test_01092_layer.png,0.086194
33,test_00072_layer.png,0.085594
34,test_01450_layer.png,0.084924
35,test_00059_layer.png,0.084855
36,test_00001_layer.png,0.084395
37,test_02245_layer.png,0.082552
38,test_01500_layer.png,0.082301
39,test_01088_layer.png,0.082237
40,test_02179_layer.png,0.081775
41,test_02666_layer.png,0.081309
42,test_03439_layer.png,0.080465
43,test_01228_layer.png,0.080070
44,test_00316_layer.png,0.078486
45,test_03830_layer.png,0.078441
46,test_02833_layer.png,0.077523
47,test_03283_layer.png,0.077471
48,test_00993_layer.png,0.077450
49,test_01016_layer.png,0.077358
50,test_00761_layer.png,0.076791
